iter,view_total,view_num,spin_total,spin_num,time,memory
10,75,75,75,64,1716722281567,274085840
10,75,75,75,65,1716722281567,274085840
10,75,75,75,66,1716722281567,274085840
10,75,75,75,67,1716722281567,274085840
10,75,75,75,68,1716722281567,274085840
10,75,75,75,69,1716722281567,274085840
10,75,75,75,70,1716722281567,274085840
10,75,75,75,71,1716722281567,274085840
10,75,75,75,72,1716722281567,274085840
10,75,75,75,73,1716722281567,274085840
10,75,75,75,74,1716722281567,274085840
10,75,75,100,0,1716722288499,369572024
10,75,75,100,1,1716722288499,369572024
10,75,75,100,2,1716722288499,369572024
10,75,75,100,3,1716722288499,369572024
10,75,75,100,4,1716722288499,369572024
10,75,75,100,5,1716722288499,369572024
10,75,75,100,6,1716722288499,369572024
10,75,75,100,7,1716722288499,369572024
10,75,75,100,8,1716722288499,369572024
10,75,75,100,9,1716722288499,369572024
10,75,75,100,10,1716722288499,369572024
10,75,75,100,11,1716722288499,369572024
10,75,75,100,12,1716722288499,369572024
10,75,75,100,13,1716722288499,369572024
10,75,75,100,14,1716722288499,369572024
10,75,75,100,15,1716722288499,369572024
10,75,75,100,16,1716722288499,369572024
10,75,75,100,17,1716722288499,369572024
10,75,75,100,18,1716722288499,369572024
10,75,75,100,19,1716722288499,369572024
10,75,75,100,20,1716722288499,369572024
10,75,75,100,21,1716722288499,369572024
10,75,75,100,22,1716722288499,369572024
10,75,75,100,23,1716722288499,369572024
10,75,75,100,24,1716722288499,369572024
10,75,75,100,25,1716722288499,369572024
10,75,75,100,26,1716722288499,369572024
10,75,75,100,27,1716722288499,369572024
10,75,75,100,28,1716722288499,369572024
10,75,75,100,29,1716722288499,369572024
10,75,75,100,30,1716722288499,369572024
10,75,75,100,31,1716722288499,369572024
10,75,75,100,32,1716722288499,369572024
10,75,75,100,33,1716722288499,369572024
10,75,75,100,34,1716722288499,369572024
10,75,75,100,35,1716722288499,369572024
10,75,75,100,36,1716722288499,369572024
10,75,75,100,37,1716722288499,369572024
10,75,75,100,38,1716722288499,369572024
10,75,75,100,39,1716722288499,369572024
10,75,75,100,40,1716722288499,369572024
10,75,75,100,41,1716722288499,369572024
10,75,75,100,42,1716722288499,369572024
10,75,75,100,43,1716722288499,369572024
10,75,75,100,44,1716722288499,369572024
10,75,75,100,45,1716722288499,369572024
10,75,75,100,46,1716722288499,369572024
10,75,75,100,47,1716722288499,369572024
10,75,75,100,48,1716722288499,369572024
10,75,75,100,49,1716722288499,369572024
10,75,75,100,50,1716722288499,369572024
10,75,75,100,51,1716722288499,369572024
10,75,75,100,52,1716722288499,369572024
10,75,75,100,53,1716722288499,369572024
10,75,75,100,54,1716722288499,369572024
10,75,75,100,55,1716722288499,369572024
10,75,75,100,56,1716722288499,369572024
10,75,75,100,57,1716722288499,369572024
10,75,75,100,58,1716722288499,369572024
10,75,75,100,59,1716722288499,369572024
10,75,75,100,60,1716722288499,369572024
10,75,75,100,61,1716722288499,369572024
10,75,75,100,62,1716722288499,369572024
10,75,75,100,63,1716722288499,369572024
10,75,75,100,64,1716722288499,369572024
10,75,75,100,65,1716722288499,369572024
10,75,75,100,66,1716722288499,369572024
10,75,75,100,67,1716722288499,369572024
10,75,75,100,68,1716722288499,369572024
10,75,75,100,69,1716722288499,369572024
10,75,75,100,70,1716722288499,369572024
10,75,75,100,71,1716722288499,369572024
